國文,英文,數學,社會,自然
8,7,8,8,11
7,15,13,13,10
12,6,9,13,12
14,7,7,8,8
8,14,8,7,11
9,11,9,14,15
9,11,8,8,13
6,8,13,12,6
13,15,6,10,11
9,13,7,11,7
12,7,14,7,10
8,10,13,10,14
11,15,12,7,7
12,8,11,7,14
6,11,11,12,13
12,7,13,10,12
13,13,6,13,14
7,7,12,13,8
11,15,12,9,15
15,11,12,15,6
13,6,8,15,11
15,9,6,15,10
8,6,13,6,9
14,13,12,11,15
15,8,7,14,10
9,14,10,8,8
6,15,11,11,14
15,7,10,8,15
11,7,10,12,8
11,7,8,10,12
10,8,13,6,11
14,8,14,12,15
12,10,15,12,10
12,6,11,11,12
8,8,8,9,9
7,6,12,10,7
13,15,8,6,11
8,7,12,11,10
9,11,10,15,9
9,15,6,13,14
15,6,6,10,14
13,11,9,7,8
12,8,9,9,14
15,13,15,6,6
12,11,14,10,14
8,6,6,13,8
8,13,15,10,13
15,15,14,15,10
15,9,6,15,8
9,9,6,13,8
6,13,11,7,14
14,8,6,6,15
6,12,7,9,15
12,7,11,11,10
14,14,15,6,15
9,12,12,7,8
7,14,13,14,8
9,10,11,6,11
7,9,11,14,13
7,14,15,12,12
13,11,12,11,15
7,13,15,6,7
15,7,9,13,7
7,14,8,13,6
15,6,11,8,6
13,15,10,15,11
13,9,10,7,15
9,14,9,6,8
6,13,10,13,13
15,6,15,7,14
15,13,14,6,12
14,9,7,12,11
7,10,8,13,9
9,10,9,13,12
15,8,9,15,11
6,7,7,10,7
7,7,14,15,12
13,6,9,9,10
12,13,9,9,13
6,7,9,10,12
8,12,6,10,14
6,7,14,7,14
11,7,7,7,11
6,7,10,14,7
10,14,10,10,8
12,7,14,11,8
11,10,12,7,14
15,12,9,13,12
14,7,8,14,11
12,10,11,10,14
15,15,13,14,12
11,8,6,7,7
13,14,12,11,6
9,9,13,13,15
13,13,12,9,7
15,6,7,7,11
13,8,8,7,15
14,12,10,13,10
6,12,7,8,8
13,15,6,9,11
